country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.015,0.019,0.014,0.015,0.011,0.018,0.015,0.013,0.029,0.028,0.03,0.017,0.018,0.038,0.018,0.012,0.033,,,0.0,0.053,0.066,0.065,0.082,0.085,0.089,0.101,0.07,0.14,0.164,0.173,0.207,0.215,0.213,0.22,0.248,0.292,0.31,0.335,0.359,0.443,0.468,0.485,0.423,0.433,0.452,0.47,0.465,0.462,0.53,0.565,0.567,0.642,0.678,0.681,0.634,0.629,0.678,0.723,0.794,0.829,0.858,0.888,0.946,1.001,1.068,1.073,1.218,1.173,1.349,1.344,1.228,1.264,1.269,1.282,1.372,1.368,1.434,1.568,1.536,1.569,1.602,1.69,1.498,1.515,1.518,1.497,1.355,0.602,0.704,1.155,1.367,1.46,1.375,1.226,1.413,1.558,1.623,1.769,1.453,1.29,1.168,1.137,1.193,1.241,1.323,1.504,1.619,1.574,1.717,1.931,2.034,2.073,1.71,0.884,1.163,1.49,1.763,2.192,1.969,2.354,2.863,3.311,3.504,3.635,3.365,3.908,3.972,4.217,4.541,4.88,5.022,5.576,6.164,6.038,6.064,5.758,5.964,6.065,6.78,6.689,6.682,7.008,7.074,7.153,7.548,7.81,8.248,8.042,8.095,8.085,8.127,8.366,8.559,8.141,7.923,8.037,7.481,7.302,7.072,6.718,6.012,6.137,5.984,5.965,6.127,5.999,5.975,6.042,5.735,5.906,5.822,6.114,5.969,5.996,5.937,5.839,5.719,5.15,5.216,5.049,4.719,4.413,4.438,4.746,4.807,5.065,5.067,5.046,4.855,5.002,4.45
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.052,0.058,0.053,0.056,0.06,0.057,0.058,0.07,0.058,0.0,0.0,1.825,1.714,2.394,2.071,2.076,3.306,3.235,3.386,2.227,3.208,3.279,3.294,3.501,3.57,3.432,3.967,3.962,2.903,2.41,2.442,2.183,2.346,2.813,3.024,2.898,2.866,3.346,3.592,3.284,3.269,3.132,4.059,3.806,3.405,3.155,4.361,3.973,4.401,4.659,4.762,5.01,4.809,5.265,5.687,6.139,6.34,6.602,7.569,7.311,7.461,7.49,6.982,6.954,7.242,7.133,8.175,7.747,7.61,7.408,7.408,7.319,7.63,8.121,8.602,8.543,8.63,9.452,9.608,9.493,9.509,9.788,10.016,10.389,10.66,11.066,11.409,12.006,12.433,11.833,11.54,11.45,11.685,11.241,10.933,10.638,9.374,9.237,8.374,8.375,8.124,7.973,8.298,8.561,8.189,8.07,7.624,7.101,7.53,7.721
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.026,0.047,0.04,0.06,0.047,0.055,0.054,0.062,0.068,0.097,0.083,0.106,0.098,0.106,0.107,0.143,0.132,0.13,0.149,0.173,0.202,0.211,0.222,0.244,0.276,0.272,0.33,0.352,0.361,0.389,0.348,0.343,0.329,0.406,0.372,0.351,0.364,0.377,0.41,0.417,0.403,0.444,0.449,0.471,0.515,0.604,0.648,0.655,0.719,0.716,0.735,0.769,0.826,0.749,0.653,0.644,0.441,0.518,0.506,0.483,0.588,0.686,0.71,0.844,0.805,0.924,1.032,0.966,1.106,0.985,0.844,0.687,0.74,0.955,1.084,0.758,1.061,1.047,1.066,1.125,0.977,0.948,0.16,0.08,0.097,0.49,0.808,0.775,0.863,0.893,1.044,1.077,1.181,1.358,1.522,1.725,1.79,1.79,1.911,2.205,2.497,2.916,3.255,3.446,3.684,4.124,4.477,4.732,5.088,5.558,5.799,6.079,6.498,6.543,6.19,6.604,6.369,6.644,6.871,6.86,6.639,6.484,6.331,6.439,6.515,6.412,6.71,6.811,7.137,7.733,7.719,7.72,7.582,7.479,7.901,7.797,7.895,8.108,8.19,8.26,8.256,8.37,8.637,8.67,8.631,8.505,8.347,8.089,7.135,7.297,7.076,6.716,6.139,5.804,6.009,5.968,5.89,5.842,5.699,5.097,5.693,5.727
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.003,0.003,0.004,0.005,0.004,0.005,0.005,0.005,0.015,0.017,0.014,0.018,0.019,0.026,0.026,0.024,0.029,0.032,0.04,0.04,0.051,0.052,0.06,0.062,0.064,0.072,0.072,0.077,0.078,0.081,0.083,0.088,0.098,0.106,0.111,0.128,0.128,0.145,0.145,0.165,0.182,0.208,0.232,0.234,0.223,0.214,0.235,0.206,0.231,0.255,0.253,0.265,0.261,0.274,0.317,0.356,0.332,0.315,0.347,0.33,0.136,0.119,0.111,0.121,0.149,0.164,0.194,0.191,0.276,0.342,0.377,0.404,0.551,0.661,0.741,0.825,0.993,1.121,1.279,1.304,1.37,1.383,1.674,1.471,0.8,0.836,1.213,1.284,1.444,1.74,1.852,2.103,2.336,2.502,2.65,2.774,2.996,3.36,3.646,3.946,4.164,4.326,4.449,4.53,4.697,4.979,5.234,5.493,5.743,5.949,6.061,6.257,6.526,6.868,7.171,7.422,7.654,7.993,8.247,8.475,8.713,8.731,9.019,8.798,8.905,8.972,8.994,9.642,9.027,7.396,7.213,6.728,7.311,6.689,5.331,4.518,3.979,3.554,3.635,3.474,3.374,3.181,2.96,3.178,3.233,3.368,3.416,3.498,3.771,3.97,3.813,3.507,4.071,3.761,3.662,3.628,3.567,3.646,3.654,3.691,4.062,3.992,3.69,3.864,3.562
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.001,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.004,0.004,0.005,0.006,0.006,0.006,0.006,0.006,0.019,0.021,0.017,0.023,0.025,0.033,0.033,0.031,0.037,0.042,0.051,0.051,0.066,0.067,0.077,0.08,0.083,0.093,0.094,0.1,0.101,0.106,0.109,0.116,0.129,0.14,0.146,0.169,0.169,0.192,0.192,0.219,0.242,0.277,0.309,0.313,0.298,0.287,0.314,0.277,0.311,0.343,0.34,0.357,0.351,0.367,0.424,0.473,0.438,0.413,0.452,0.427,0.175,0.153,0.141,0.154,0.187,0.205,0.242,0.237,0.341,0.421,0.459,0.491,0.668,0.799,0.897,1.002,1.211,1.367,1.564,1.6,1.687,1.705,2.039,1.787,0.975,1.013,1.462,1.535,1.713,2.052,2.17,2.453,2.714,2.911,3.086,3.232,3.49,3.915,4.248,4.593,4.842,5.023,5.158,5.251,5.449,5.782,6.084,6.385,6.676,6.919,7.05,7.276,7.579,7.975,8.324,8.612,8.877,9.261,9.536,9.779,10.038,10.035,10.344,10.084,10.191,10.256,10.266,10.973,9.806,9.665,9.796,9.779,9.44,9.97,5.577,4.308,4.182,4.018,4.229,4.104,4.364,3.701,3.29,3.537,3.603,3.649,3.873,4.109,4.272,4.729,4.627,4.034,4.397,4.504,4.588,4.344,4.292,4.405,4.473,4.574,4.671,4.801,4.8,4.963,4.606
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953,1.276,1.195,1.083,1.012,1.0,1.198,1.319,1.868,1.45,1.463,1.298,1.133,1.07,1.444,1.316,1.681,1.201,0.992,1.112,1.209,1.149,1.195,1.221,1.367,1.364,1.444,1.377,1.256,1.419,1.608,1.616,1.693,1.805,1.973,1.964,1.967,2.155,2.132,2.202,2.223,2.236,2.453,2.369,2.269,2.595,2.437,2.436,2.439,2.41,2.558,2.649,2.583,2.617,2.847,2.747,2.707,2.855,2.975,3.011,3.231,3.277,3.291,3.416,3.523,3.68,4.095,4.461,4.121,3.859,3.472,1.322,2.188,3.263,3.244,3.351,3.879,3.814,4.23,4.58,4.615,5.032,4.967,5.32,5.189,5.648,5.139,4.729,4.681,4.462,4.72,5.145,5.004,4.646,3.77,4.134,3.803,3.79,2.499,1.549,3.246,4.594,4.805,5.068,5.081,5.375,5.28,5.265,5.493,5.664,5.968,5.831,5.959,5.918,6.39,6.51,7.056,7.622,7.986,8.179,8.333,8.482,8.914,8.99,10.876,10.667,11.82,12.289,11.798,11.163,12.291,11.808,12.172,13.319,12.5,11.543,9.337,9.559,9.976,10.126,9.869,10.322,9.863,10.886,10.885,11.372,11.281,11.203,11.183,11.213,11.732,11.215,11.209,10.805,10.819,11.084,10.99,11.155,11.224,10.937,10.596,10.539,10.675,10.301,10.974,10.126,9.859,9.775,9.288,9.612,9.617,9.426,9.148,8.783,7.84,7.994,7.137
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.007,0.003,,,,0.012,0.015,0.021,0.042,0.033,0.035,0.047,0.058,0.048,0.051,0.075,0.074,0.076,0.097,0.077,0.1,0.106,0.105,0.114,0.159,0.172,0.201,0.198,0.172,0.207,0.209,0.266,0.228,0.221,0.291,0.284,0.31,0.365,0.371,0.321,0.362,0.348,0.37,0.368,0.451,0.561,0.49,0.654,0.577,0.601,0.652,0.671,0.729,0.783,0.798,0.909,0.885,0.85,0.979,1.111,1.033,1.19,1.204,1.189,1.387,1.445,1.46,1.564,1.546,1.83,1.861,1.73,1.87,1.856,1.808,1.791,1.812,2.038,2.419,2.421,2.475,2.511,2.814,2.802,3.092,3.355,3.103,1.36,1.715,2.019,2.006,1.267,2.417,2.517,2.845,2.779,2.312,3.131,3.035,3.397,3.094,2.85,3.029,3.198,3.286,3.369,3.576,4.004,3.547,4.209,2.174,1.595,1.519,1.771,1.573,1.281,2.238,3.331,3.41,3.201,2.57,2.875,2.91,2.91,2.911,3.329,3.453,3.252,3.175,3.323,3.654,3.694,3.864,4.081,4.377,4.402,5.206,5.101,5.533,5.768,7.219,6.96,7.474,7.699,6.948,7.636,8.279,8.238,8.038,8.502,7.777,7.758,7.512,7.738,8.166,7.775,8.347,7.931,8.455,8.078,8.252,7.851,8.024,8.334,8.728,8.822,9.477,9.449,9.436,9.545,9.376,9.636,9.376,9.616,9.633,9.357,9.406,9.68,9.368,8.921,9.33,9.033,8.812,8.762,8.75,8.765,8.532,8.369,8.359,8.001,7.664,7.594,7.509
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.049,0.049,0.05,0.049,0.061,0.055,0.04,0.053,0.049,0.059,0.06,0.046,0.038,0.05,0.059,0.067,0.073,0.09,0.073,0.072,0.079,0.086,0.114,0.119,0.123,0.112,0.119,0.109,0.096,0.088,0.072,0.091,0.094,0.098,0.104,0.117,0.125,0.133,0.14,0.163,0.176,0.186,0.182,0.192,0.223,0.234,0.238,0.238,0.233,0.245,0.262,0.31,0.32,0.349,0.406,0.45,0.473,0.536,0.488,0.507,0.513,0.582,0.656,0.723,0.79,0.763,0.824,0.926,0.943,0.993,1.115,1.196,1.276,1.378,1.333,1.343,1.245,1.29,1.383,1.356,1.33,1.361,1.473,1.513,1.558,1.574,1.562,1.714,1.827,1.865,1.999,1.883,1.966,1.984,2.093,2.235,2.318,2.498,2.566,2.604,2.732,2.655,2.757,2.774,2.973,3.102,3.413,3.616,3.701,3.663,3.874,4.346,4.602,3.884,3.835,4.452,5.002,4.246,0.115,3.21,3.132,2.967,2.137,1.914,1.893,1.864,2.312,2.358,2.687,2.066,1.982,1.505,1.539,1.601,1.624,1.745,1.958,2.07,1.79,5.79,5.756,6.431,7.139,6.954,2.229,3.997,3.565,3.53,4.234,4.524,4.838,4.981,5.319,5.541,5.69,6.034,6.364,6.183,6.525,6.763,6.928,7.155,7.547,7.853,7.91,8.012,8.154,8.614,9.093,9.363,9.565,9.991,10.087,10.311,11.056,11.631,12.093,12.356,12.541,13.044,11.408,11.633,11.523,11.727,11.956,12.07,12.315,11.748,11.128,9.895,9.789,9.529,9.53,9.387,9.443,9.825,9.564,8.835,8.585,8.245,8.109,7.921,8.258,8.389,8.367,8.731,8.72,8.555,8.197,8.659,8.638,8.439,8.338,8.024,8.111,8.397,8.74,8.725,8.253,7.87,8.643,8.107
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.119,0.165,0.12,0.262,0.255,0.148,0.141,0.154,0.191,0.191,0.231,0.241,0.252,0.232,0.254,0.259,0.277,0.316,0.334,0.344,0.332,0.295,0.344,0.326,0.33,0.344,0.391,0.4,0.456,0.439,0.477,0.455,0.462,0.448,0.51,0.552,0.544,0.549,0.555,0.534,0.619,0.652,0.569,0.519,0.501,0.277,0.183,0.359,0.347,0.352,0.48,0.429,0.48,0.489,0.485,0.555,0.604,0.593,0.638,0.571,0.488,0.568,0.575,0.607,0.566,0.668,0.551,0.628,0.509,0.489,0.387,0.373,0.408,0.415,0.479,0.676,0.635,0.661,0.667,0.637,0.628,0.692,0.672,0.746,0.823,0.89,0.859,0.902,0.925,1.02,1.043,1.124,1.236,1.302,1.333,1.399,1.473,1.664,1.755,1.882,2.073,2.227,2.274,2.312,2.393,2.39,2.358,2.566,2.736,2.739,2.928,3.007,2.887,2.714,3.019,3.114,3.249,4.074,4.525,4.716,5.103,4.947,5.012,5.419,5.131,5.392,5.813,6.531,6.37,6.282,6.669,6.154,6.409,6.617,6.15,5.902,5.673,5.395,4.999,4.897,4.742,4.597,4.601,5.036,4.874,5.346,4.993,4.616,4.049,3.881,4.051
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.023,0.041,0.047,0.045,0.048,0.052,0.062,0.063,0.078,0.107,0.1,0.108,0.098,0.101,0.104,0.12,0.157,0.147,0.113,0.144,0.142,0.164,0.193,0.233,0.313,0.393,0.375,0.413,0.407,0.485,0.503,0.583,0.48,0.425,0.247,0.206,0.261,0.379,0.442,0.472,0.563,0.66,0.768,0.887,1.084,1.189,1.329,1.47,1.647,1.808,1.891,1.866,2.137,2.104,2.186,1.855,1.72,1.606,1.515,1.417,1.482,1.38,0.938,1.175,1.082,1.011,1.441,1.419,1.184,1.355,1.582,1.797,1.942,2.107,2.308,2.568,2.753,2.77,2.893,2.992,3.4,3.676,3.789,4.113,4.375,4.756,5.128,5.658,6.022,6.238,6.486,7.014,7.21,7.647,8.125,8.203,8.847,8.881,8.85,8.873,8.727,8.912,8.383,8.588,8.902,9.315,9.312,9.346,7.729,6.226,5.79,5.4,5.342,5.579,5.761,5.301,4.732,4.039,4.258,4.541,4.586,4.833,4.851,4.828,4.988,5.255,5.238,4.323,4.234,4.59,4.525,3.955,3.957,3.92,3.875,4.043,4.094,3.938,3.808,3.994,3.74
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.086,0.146,0.205,0.264,0.322,0.38,0.437,0.494,0.551,0.607,0.663,0.718,0.773,0.828,0.882,1.519,1.59,1.661,1.779,1.877,1.976,2.013,2.142,2.205,2.307,2.416,2.529,2.7,2.849,3.035,3.136,3.172,3.231,3.3,3.412,3.484,3.674,3.742,3.825,3.784,3.939,3.978,4.038,4.063,4.167,4.336,4.54,4.607,4.563,4.499,4.54,4.813,5.016,4.556,4.53,4.804,4.501,3.823,3.599,3.556,3.402,3.025,3.186,3.896,3.653,3.69,3.945,4.139,4.612,4.037,3.762,3.266,2.978,2.963,3.039,3.289,3.969,4.549,4.976,5.588,5.603,6.021,6.623,6.295,3.329,4.117,4.651,5.007,5.233,5.344,5.598,5.875,5.975,6.264,6.382,6.722,6.895,7.409,7.298,7.67,8.205,8.64,9.005,9.275,8.949,8.821,8.734,9.078,9.579,10.91,11.358,11.365,11.302,11.317,11.721,12.055,12.292,12.281,11.846,11.882,11.664,11.469,11.407,11.721,11.492,11.509,11.317,11.08,10.534,11.684,10.092,9.221,8.71,8.196,8.251,8.216,8.218,8.16,8.008,7.651,8.04,7.81,7.871,7.961,7.961,7.916,7.618,7.686,6.982,7.117,7.031,6.639,6.569,6.211,6.355,6.428,6.639,6.629,6.193,5.699,6.455,6.052
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.013,0.015,0.017,0.029,0.055,0.055,0.06,0.047,0.07,0.081,0.109,0.118,0.109,0.118,0.124,0.134,0.159,0.16,0.171,0.174,0.171,0.183,0.186,0.508,0.0,0.0,0.0,0.0,0.0,0.345,0.455,0.48,0.691,0.747,0.76,0.826,0.798,0.894,1.001,1.088,1.015,0.924,0.836,0.767,0.791,0.82,0.803,0.887,0.832,0.866,0.992,0.0,0.0,0.034,0.009,0.479,0.936,1.289,1.442,1.634,1.558,1.461,1.452,1.427,1.684,1.907,2.159,2.318,2.262,2.568,2.78,2.889,2.939,3.242,3.643,3.717,3.649,3.653,3.873,3.983,5.169,5.524,5.126,6.071,6.039,6.241,6.379,6.139,6.797,7.324,7.13,7.693,7.015,7.52,7.899,8.027,8.353,8.114,8.379,8.31,7.6,7.023,6.971,7.153,7.349,7.711,8.037,8.296,8.067,7.76,7.586,8.223,8.35,8.179,8.366,8.446,8.531,8.572,8.986,7.922,8.001,7.92,7.616,7.3,6.536,6.558,6.918,6.966,6.895,6.645,6.07,6.162,5.998
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.002,0.003,0.003,0.007,0.01,0.012,0.014,0.019,0.019,0.018,0.02,0.022,0.033,0.034,0.036,0.043,0.036,0.036,0.049,0.055,0.074,0.105,0.124,0.128,0.139,0.154,0.147,0.145,0.143,0.16,0.165,0.163,0.19,0.181,0.2,0.191,0.189,0.199,0.215,0.227,0.225,0.236,0.262,0.291,0.316,0.345,0.341,0.333,0.35,0.351,0.366,0.386,0.413,0.445,0.463,0.451,0.483,0.474,0.51,0.521,0.509,0.575,0.603,0.631,0.656,0.643,0.681,0.707,0.717,0.724,0.755,0.769,0.75,0.737,0.794,0.86,0.848,0.746,0.864,0.762,0.799,0.755,0.661,0.692,0.69,0.787,0.832,0.854,0.816,0.942,0.936,1.033,1.008,0.952,0.886,0.776,0.832,0.914,0.325,0.209,0.523,0.616,0.84,0.828,0.88,0.902,0.967,1.051,1.036,1.14,1.186,1.285,1.177,1.174,1.324,1.36,1.376,1.384,1.443,1.698,1.871,1.727,1.607,1.745,1.931,1.871,2.026,2.212,2.391,2.633,2.926,2.889,3.455,3.763,4.193,4.44,4.887,5.063,5.472,5.336,5.412,5.452,5.706,5.458,5.492,5.33,5.157,5.197,4.9,4.898,5.092,5.789,5.927,6.16,6.342,6.089,6.367,6.682,6.338,6.616,6.803,7.352,7.611,7.611,8.003,7.964,8.217,8.432,8.096,8.12,7.307,6.395,6.075,6.073,5.947,5.406,5.47,5.832,5.587,5.873,5.74,5.318,4.51,4.849,5.164
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,,,0.014,0.013,0.013,0.025,0.018,0.03,0.027,0.024,0.024,0.041,0.057,0.058,0.062,0.061,0.064,0.094,0.087,0.13,0.165,0.137,0.199,0.197,0.251,0.253,0.251,0.262,0.271,0.277,0.255,0.299,0.263,0.322,0.341,0.403,0.405,0.433,0.521,0.551,0.578,0.485,0.489,0.62,0.599,0.682,0.694,0.762,0.818,0.798,0.805,0.895,1.04,1.032,1.095,1.082,1.081,1.198,1.202,1.234,1.365,1.444,1.795,1.79,1.653,1.72,1.877,1.964,1.922,2.121,2.384,2.552,2.335,2.401,2.325,2.56,2.857,2.663,2.663,2.789,1.199,1.399,1.335,1.794,1.038,1.705,2.061,2.445,2.181,2.114,2.947,2.667,3.167,3.083,3.073,3.028,3.143,3.487,3.655,3.99,4.593,4.133,4.611,2.89,2.335,2.004,2.414,1.878,0.68,2.571,3.677,4.469,3.858,4.085,4.73,4.849,4.54,4.779,5.382,5.932,5.279,5.683,5.69,6.562,6.475,6.762,7.247,7.848,8.067,9.273,8.744,9.777,10.82,11.496,10.467,10.434,10.701,9.743,9.82,10.7,10.374,9.597,10.23,8.628,8.333,7.464,6.974,6.846,7.433,7.372,7.075,6.781,6.528,6.728,6.718,6.663,6.629,6.88,6.794,7.214,6.629,6.66,6.326,6.192,6.276,6.351,6.393,6.277,5.952,5.902,5.783,5.511,5.079,5.662,5.198,4.888,4.685,4.46,4.408,4.362,4.221,4.137,3.994,3.538,3.681,3.607
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.082,0.121,0.168,0.185,0.184,0.223,0.27,0.265,0.258,0.293,0.282,0.338,0.416,0.474,0.457,0.429,0.466,0.541,0.51,0.484,0.514,0.59,0.55,0.605,0.667,0.682,0.707,0.718,0.775,0.788,0.865,0.972,1.18,1.151,0.944,1.163,1.234,1.336,1.393,1.474,1.571,1.721,1.554,1.55,1.659,1.722,1.78,1.943,2.226,2.201,2.195,2.1,2.305,2.333,2.454,2.227,2.35,2.225,1.596,1.496,1.195,1.869,1.149,1.576,1.955,1.837,1.906,1.877,2.155,2.237,2.55,2.364,2.487,2.508,2.337,2.324,2.295,2.392,2.513,2.501,2.821,1.963,1.553,1.356,1.418,1.012,0.365,1.283,2.081,2.226,1.839,2.181,2.59,2.333,2.119,2.55,2.722,3.368,3.449,3.134,3.154,3.659,3.746,4.328,5.105,4.858,5.178,5.32,5.427,5.929,6.2,6.511,6.741,6.854,7.325,6.533,6.161,6.417,6.534,6.713,6.334,6.408,6.109,5.725,6.236,6.075,6.149,6.496,6.143,6.168,5.931,6.58,6.789,6.695,6.287,6.103,6.167,6.238,6.072,6.276,6.222,6.073,6.24,5.973,6.09,6.128,6.163,6.069,5.75,5.853,5.628,5.758,5.18,5.284,5.339,4.791,4.676,4.679,4.517,4.33,4.283,3.963,4.118,4.048
